year,engine_volume,mileage,horsepower,price
2001,2.4,156154.0,208.0,34651.17
2014,2.8,222786.0,243.0,45179.92
2023,2.7,90181.0,235.0,51403.49
2009,3.9,47277.0,339.0,61083.82
2005,2.6,169738.0,226.0,37495.67
2002,2.2,110597.0,191.0,33778.65
2023,2.9,151408.0,252.0,48035.38
2015,2.7,200996.0,235.0,42575.44
2001,1.2,139408.0,104.0,16669.21
2020,2.5,128365.0,217.0,41257.87
2013,2.4,131500.0,208.0,41195.18
2017,2.1,38138.0,182.0,38777.08
2005,3.3,175402.0,287.0,53333.53
2005,1.9,178604.0,165.0,29209.07
2018,2.9,146529.0,252.0,50836.85
2015,2.4,44230.0,208.0,40913.42
1998,2.6,113943.0,226.0,37109.14
2002,2.8,191926.0,243.0,45192.75
2018,1.5,91712.0,130.0,27341.18
1997,2.7,179213.0,235.0,36277.21
2016,4.3,122755.0,373.0,66874.14
2015,1.3,155625.0,113.0,26909.11
1996,2.5,99393.0,217.0,36263.56
2018,3.4,124219.0,295.0,57086.04
2006,2.7,141836.0,235.0,42132.37
2000,3.1,65838.0,269.0,46422.64
1996,0.8,133696.0,69.0,9744.75
2022,3.0,0.0,261.0,56441.37
2015,1.9,89925.0,165.0,31302.91
1995,2.7,147194.0,235.0,39741.15
2006,2.5,176013.0,217.0,40725.27
2020,4.3,143638.0,373.0,70468.33
2016,2.9,50484.0,252.0,52778.18
2023,2.4,171643.0,208.0,38775.91
2006,1.3,63043.0,113.0,19080.72
2019,2.6,150710.0,226.0,44438.35
2011,3.2,64708.0,278.0,51575.61
2021,2.4,81340.0,208.0,44981.29
2021,2.1,72183.0,182.0,38336.61
2004,2.0,126948.0,174.0,31353.98
2022,2.9,110223.0,252.0,50548.48
2022,3.1,145445.0,269.0,52663.22
2010,3.6,119068.0,313.0,56025.45
2009,1.7,44106.0,148.0,27444.88
2009,2.9,133791.0,252.0,45446.55
2013,2.4,31892.0,208.0,44986.03
2006,2.4,75807.0,208.0,37647.34
2017,2.8,101804.0,243.0,46322.72
2014,2.8,98340.0,243.0,47055.13
2019,2.9,37629.0,252.0,48985.3
1997,1.7,188558.0,148.0,24893.96
1999,1.9,202400.0,165.0,23920.19
2013,3.7,232539.0,321.0,55935.75
2001,2.3,177383.0,200.0,38450.04
2015,2.7,100228.0,235.0,43306.51
2003,3.3,99366.0,287.0,53958.38
2001,2.9,96605.0,252.0,44676.61
2012,2.9,219282.0,252.0,45127.37
1998,3.2,114223.0,278.0,45965.69
2019,0.8,183462.0,69.0,17564.56
2022,2.1,179572.0,182.0,35784.5
2008,2.9,129477.0,252.0,43399.48
2012,3.6,47418.0,313.0,62450.96
2020,2.6,115304.0,226.0,44385.12
2003,1.8,127348.0,156.0,23930.62
2020,1.8,183896.0,156.0,30768.56
2015,3.2,120973.0,278.0,54128.25
1996,2.3,59570.0,200.0,36176.17
2014,2.5,169395.0,217.0,39144.36
2022,3.0,108623.0,261.0,50022.39
2009,0.8,0.0,69.0,14917.65
2022,4.1,136249.0,356.0,67676.66
2001,1.9,145039.0,165.0,28449.81
2006,2.7,77853.0,235.0,44880.69
2023,1.1,110398.0,96.0,23383.98
2002,2.2,152886.0,191.0,32390.19
2009,3.5,136589.0,304.0,54256.52
1997,1.0,41867.0,87.0,16386.73
2008,3.4,182678.0,295.0,51519.74
2011,2.3,205317.0,200.0,37537.37
1998,2.9,94491.0,252.0,44209.77
2012,3.0,24506.0,261.0,51340.48
2002,2.9,158556.0,252.0,43069.33
1998,1.8,86345.0,156.0,25312.36
1996,2.2,146772.0,191.0,31102.28
2000,1.3,230109.0,113.0,15383.32
2016,2.9,42685.0,252.0,51003.55
2004,3.9,80169.0,339.0,60385.93
1998,1.0,110276.0,87.0,17963.79
